entity_id,entity_type,expected_classification,expected_match_target,notes,outside_taxonomy
BNK000002,bank_row,messy_narration,setl_0001,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000003,bank_row,messy_narration,setl_0002,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000004,bank_row,messy_narration,setl_0003,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000006,bank_row,balance_inconsistency,,"balance column overstates by 7500 paise against this row's own credit and debit; no line is missing, the statement is internally wrong",yes
BNK000008,bank_row,messy_narration,setl_0007,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000009,bank_row,messy_narration,setl_0008,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000011,bank_row,messy_narration,setl_0010,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000017,bank_row,messy_narration,setl_0016,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000018,bank_row,messy_narration,setl_0017,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000023,bank_row,balance_inconsistency,,"balance column overstates by 31000 paise against this row's own credit and debit; no line is missing, the statement is internally wrong",yes
BNK000028,bank_row,messy_narration,setl_0027,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date,no
BNK000031,bank_row,split_settlement,setl_0014,"settlement setl_0014 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
BNK000032,bank_row,split_settlement,setl_0014,"settlement setl_0014 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
BNK000033,bank_row,split_settlement,setl_0025,"settlement setl_0025 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
BNK000034,bank_row,split_settlement,setl_0025,"settlement setl_0025 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
BNK000035,bank_row,split_settlement,setl_0006,"settlement setl_0006 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
BNK000036,bank_row,split_settlement,setl_0006,"settlement setl_0006 paid in two instalments; this line carries part of the total, so no single statement line ties to the settlement",yes
